Car: 1	Rides: 
Car: 2	Rides: 
Car: 3	Rides: 
Car: 4	Rides: 
Car: 5	Rides: 
Car: 6	Rides: 
Car: 7	Rides: 
Car: 8	Rides: 
Car: 9	Rides: 
Car: 10	Rides: 
Car: 11	Rides: 
Car: 12	Rides: 
Car: 13	Rides: 
Car: 14	Rides: 
Car: 15	Rides: 
Car: 16	Rides: 
Car: 17	Rides: 
Car: 18	Rides: 
Car: 19	Rides: 
Car: 20	Rides: 
Car: 21	Rides: 
Car: 22	Rides: 
Car: 23	Rides: 
Car: 24	Rides: 
Car: 25	Rides: 
Car: 26	Rides: 
Car: 27	Rides: 
Car: 28	Rides: 
Car: 29	Rides: 
Car: 30	Rides: 
Car: 31	Rides: 
Car: 32	Rides: 
Car: 33	Rides: 
Car: 34	Rides: 
Car: 35	Rides: 
Car: 36	Rides: 
Car: 37	Rides: 
Car: 38	Rides: 
Car: 39	Rides: 
Car: 40	Rides: 
Car: 41	Rides: 
Car: 42	Rides: 
Car: 43	Rides: 
Car: 44	Rides: 
Car: 45	Rides: 
Car: 46	Rides: 
Car: 47	Rides: 
Car: 48	Rides: 
Car: 49	Rides: 
Car: 50	Rides: 
Car: 51	Rides: 
Car: 52	Rides: 
Car: 53	Rides: 
Car: 54	Rides: 
Car: 55	Rides: 
Car: 56	Rides: 
Car: 57	Rides: 
Car: 58	Rides: 
Car: 59	Rides: 
Car: 60	Rides: 
Car: 61	Rides: 
Car: 62	Rides: 
Car: 63	Rides: 
Car: 64	Rides: 
Car: 65	Rides: 
Car: 66	Rides: 
Car: 67	Rides: 
Car: 68	Rides: 
Car: 69	Rides: 
Car: 70	Rides: 
Car: 71	Rides: 
Car: 72	Rides: 
Car: 73	Rides: 
Car: 74	Rides: 
Car: 75	Rides: 
Car: 76	Rides: 
Car: 77	Rides: 
Car: 78	Rides: 
Car: 79	Rides: 
Car: 80	Rides: 
Car: 81	Rides: 
Car: 82	Rides: 
Car: 83	Rides: 
Car: 84	Rides: 
Car: 85	Rides: 
Car: 86	Rides: 
Car: 87	Rides: 
Car: 88	Rides: 
Car: 89	Rides: 
Car: 90	Rides: 
Car: 91	Rides: 
Car: 92	Rides: 
Car: 93	Rides: 
Car: 94	Rides: 
Car: 95	Rides: 
Car: 96	Rides: 
Car: 97	Rides: 
Car: 98	Rides: 
Car: 99	Rides: 
Car: 100	Rides: 
